Seconds since Launch,Total Requests,Requests Per Sec,Requests Okay,Requests Relayed,Requests Error
234.88288688659668,564481,3028.0,501533,0,62948
236.89194512367249,570557,3038.0,506908,0,63649
238.89281058311462,576451,2947.0,512097,0,64354
240.8997631072998,582541,3045.0,517485,0,65056
242.90213179588318,588723,3091.0,522949,0,65774
244.90312814712524,594816,3046.5,528337,0,66479
246.9050121307373,600747,2965.5,533619,0,67128
248.91767477989197,606894,3073.5,539048,0,67846
250.92863082885742,612998,3052.0,544474,0,68524
252.94035625457764,618848,2925.0,549652,0,69196
254.9482274055481,624873,3012.5,555020,0,69853
256.9618353843689,630978,3052.5,560427,0,70551
258.9685628414154,637055,3038.5,565843,0,71212
260.97550797462463,643045,2995.0,571191,0,71854
262.9891896247864,648860,2907.5,576343,0,72517
264.9993004798889,654804,2972.0,581646,0,73158
267.0148060321808,660802,2999.0,586990,0,73812
269.0185146331787,666792,2995.0,592354,0,74438
271.02903175354004,672794,3001.0,597706,0,75088
273.0311737060547,678444,2825.0,602726,0,75718
275.03951621055603,683876,2716.0,607499,0,76377
277.05143880844116,689670,2897.0,612631,0,77039
279.0600736141205,695576,2953.0,617889,0,77687
281.0650601387024,701532,2978.0,623220,0,78312
283.069518327713,707463,2965.5,628478,0,78985
285.071453332901,713377,2957.0,633699,0,79678
287.07856035232544,719283,2953.0,638948,0,80335
289.0906550884247,725247,2982.0,644246,0,81001
291.0981013774872,731264,3008.5,649606,0,81658
293.1007647514343,737255,2995.5,654944,0,82311
295.10192465782166,743198,2971.5,660209,0,82989
297.1061315536499,749219,3010.5,665584,0,83635
299.1172137260437,755358,3069.5,671069,0,84289
301.118421792984,761155,2898.5,676203,0,84952
303.1210067272186,767139,2992.0,681505,0,85634
305.1425738334656,773155,3008.0,686845,0,86310
307.15768790245056,779218,3031.5,692272,0,86946
309.163494348526,785142,2962.0,697530,0,87612
311.1640393733978,790910,2884.0,702668,0,88242
313.16932129859924,796828,2959.0,707980,0,88848
315.1704285144806,802937,3054.5,713404,0,89533
