Seconds since Launch,Total Requests,Requests Per Sec,Requests Okay,Requests Relayed,Requests Error
234.7941153049469,449225,2666.0,434610,0,14615
236.79467105865479,454186,2480.5,439439,0,14747
238.8044810295105,458301,2057.5,443444,0,14857
240.8201072216034,463201,2450.0,448219,0,14982
242.82367491722107,467463,2131.0,452376,0,15087
244.8241949081421,471862,2199.5,456676,0,15186
246.83515167236328,476287,2212.5,460980,0,15307
248.84583854675293,480971,2342.0,465538,0,15433
250.8556046485901,486232,2630.5,470654,0,15578
252.87391328811646,491609,2688.5,475885,0,15724
254.87544059753418,497308,2849.5,481423,0,15885
256.89083790779114,502800,2746.0,486771,0,16029
258.9017114639282,508380,2790.0,492212,0,16168
260.90291810035706,513677,2648.5,497372,0,16305
262.90521001815796,518981,2652.0,502545,0,16436
264.91725182533264,524794,2906.5,508201,0,16593
266.9181568622589,530534,2870.0,513775,0,16759
268.92554688453674,536215,2840.5,519309,0,16906
270.9294214248657,541636,2710.5,524582,0,17054
272.9364082813263,547322,2843.0,530126,0,17196
274.94311451911926,552563,2620.5,535213,0,17350
276.95173621177673,558237,2837.0,540746,0,17491
278.9567165374756,561529,1646.0,543956,0,17573
280.9624011516571,564586,1528.5,546931,0,17655
282.9703893661499,568669,2041.5,550903,0,17766
284.98473143577576,573797,2564.0,555891,0,17906
286.98635029792786,579201,2702.0,561164,0,18037
288.98920154571533,584863,2831.0,566675,0,18188
290.9898989200592,588743,1940.0,570447,0,18296
292.99459958076477,591722,1489.5,573345,0,18377
295.01385402679443,597485,2881.5,578955,0,18530
297.0214693546295,600597,1556.0,581983,0,18614
299.0295433998108,605748,2575.5,587010,0,18738
301.04100942611694,611292,2772.0,592411,0,18881
303.04365968704224,616231,2469.5,597217,0,19014
305.04899764060974,621219,2494.0,602067,0,19152
307.05788230895996,626697,2739.0,607390,0,19307
309.06172585487366,632431,2867.0,612981,0,19450
311.0641224384308,637822,2695.5,618230,0,19592
313.0787389278412,643633,2905.5,623880,0,19753
315.07921147346497,647675,2021.0,627816,0,19859
317.0814542770386,653268,2796.5,633278,0,19990
319.087947845459,657763,2247.5,637661,0,20102
321.1027913093567,662036,2136.5,641824,0,20212
323.11262130737305,666831,2397.5,646480,0,20351
325.11427545547485,672114,2641.5,651623,0,20491
327.129763841629,676265,2075.5,655667,0,20598
329.1321439743042,681440,2587.5,660698,0,20742
331.136146068573,686731,2645.5,665852,0,20879
333.1408369541168,691734,2501.5,670716,0,21018
335.14794731140137,696088,2177.0,674949,0,21139
337.14844012260437,700910,2411.0,679645,0,21265
339.16356110572815,705595,2342.5,684187,0,21408
341.1693158149719,710987,2696.0,689429,0,21558
343.1746220588684,715941,2477.0,694247,0,21694
345.1884868144989,721366,2712.5,699521,0,21845
347.200058221817,726937,2785.5,704950,0,21987
349.2093663215637,733248,3155.5,711092,0,22156
351.22189950942993,739078,2915.0,716778,0,22300
353.2255423069,745111,3016.5,722646,0,22465
355.23741936683655,751107,2998.0,728476,0,22631
357.2474219799042,757369,3131.0,734597,0,22772
359.2494568824768,763066,2848.5,740134,0,22932
361.25017857551575,768977,2955.5,745899,0,23078
363.26232504844666,774869,2946.0,751660,0,23209
365.2713692188263,780960,3045.5,757588,0,23372
367.2825508117676,786898,2969.0,763387,0,23511
369.29278588294983,792937,3019.5,769262,0,23675
371.3019413948059,797164,2113.5,773381,0,23783
373.3104770183563,802196,2516.0,778263,0,23933
375.320517539978,807186,2495.0,783112,0,24074
377.3303875923157,811931,2372.5,787736,0,24195
379.33252120018005,817472,2770.5,793169,0,24303
381.34170937538147,823284,2906.0,798824,0,24460
383.3546314239502,829171,2943.5,804568,0,24603
385.3547999858856,833845,2337.0,809131,0,24714
387.36704444885254,837132,1643.5,812336,0,24796
389.3734335899353,842021,2444.5,817086,0,24935
391.37407302856445,847091,2535.0,822020,0,25071
393.37740182876587,852264,2586.5,827072,0,25192
395.38160514831543,856994,2365.0,831687,0,25307
397.3837785720825,862479,2742.5,837041,0,25438
399.39822363853455,867488,2504.5,841917,0,25571
401.41176676750183,871942,2227.0,846257,0,25685
403.41678071022034,876442,2250.0,850632,0,25810
405.41682505607605,879314,1436.0,853430,0,25884
407.42660880088806,884757,2721.5,858727,0,26030
409.42746782302856,888424,1833.5,862293,0,26131
411.44271874427795,892534,2055.0,866287,0,26247
413.4457709789276,896882,2174.0,870527,0,26355
415.44755005836487,902184,2651.0,875688,0,26496
417.4546184539795,907270,2543.0,880645,0,26625
419.45660853385925,911736,2233.0,884988,0,26748
421.4703001976013,916314,2289.0,889466,0,26848
423.4847803115845,921784,2735.0,894782,0,27002
425.49458360671997,927257,2736.5,900093,0,27164
427.49878096580505,930797,1770.0,903549,0,27248
429.51415634155273,935429,2316.0,908060,0,27369
431.51972341537476,940938,2754.5,913432,0,27506
433.5319678783417,946758,2910.0,919107,0,27651
435.5473141670227,952098,2670.0,924291,0,27807
437.557062625885,957622,2762.0,929662,0,27960
439.5586721897125,963161,2769.5,935053,0,28108
441.5712242126465,968906,2872.5,940659,0,28247
443.57614755630493,973423,2258.5,945038,0,28385
445.5844352245331,978557,2567.0,950047,0,28510
447.5931932926178,984121,2782.0,955452,0,28669
449.60156774520874,989230,2554.5,960428,0,28802
451.60675263404846,993821,2295.5,964884,0,28937
453.6213228702545,999240,2709.5,970160,0,29080
455.62900400161743,1004042,2401.0,974847,0,29195
457.6396098136902,1009352,2655.0,980019,0,29333
459.65312576293945,1012949,1798.5,983519,0,29430
461.67062044143677,1017526,2288.5,987955,0,29571
463.68144631385803,1022963,2718.5,993243,0,29720
465.68908286094666,1028538,2787.5,998678,0,29860
467.6912121772766,1033447,2454.5,1003446,0,30001
469.69210410118103,1038338,2445.5,1008211,0,30127
