Time,Total,Per Sec,Okay,Relayed,Error
300.7648093700409,827696,3344.0,735859,0,91837
481.4000208377838,1429177,3324.5,1270659,0,158518
601.7834215164185,1832376,3353.5,1628674,0,203702
